Customer Number,Campaign Period Sales ,Historical Sales Volume ,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language
86734,$238.70 ,"$146,803.43 ",1968-10-01,15,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,06-Oct,English
97098,$281.68 ,"$439,984.16 ",1981-06-15,22,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
100836,$432.86 ,"$970,465.71 ",1962-11-01,19,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
116390, $-   ,"$230,193.60 ",1983-06-01,17,FALSE,FALSE,FALSE,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,01-May,English
127914,"$1,370.17 ","$27,403.33 ",1987-07-15,21,FALSE,FALSE,FALSE,NOTICE,BRANCH (PHONE),N,N,N,N,N,N,Y,N,N, ,
148529,$308.42 ,"$182,584.08 ",1979-05-15,16,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,06-Oct,English
163829, $-   ,"$151,252.50 ",1986-11-15,6,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,English
164322, $-   ,"$1,377,761.00 ",1985-09-01,21,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,
166859,"$2,241.50 ","$609,688.00 ",1978-02-01,32,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,N, ,
170336,$223.44 ,"$277,512.48 ",1982-07-01,18,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
182528, $-   ,"$221,457.14 ",1983-12-01,15,FALSE,FALSE,FALSE,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,06-Oct,English
186013,$124.76 ,"$199,366.48 ",1980-09-01,17,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,01-May,English
191440, $-   ,"$332,935.27 ",1987-12-01,22,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,Nov-50,English
196723, $-   ,"$184,006.29 ",1987-03-01,15,FALSE,TRUE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,06-Oct,English
204625, $-   ,"$940,139.20 ",1987-03-01,22,FALSE,FALSE,FALSE,NOTICE,,N,Y,N,N,N,N,N,N,Y,101-500,English
212131,$110.33 ,"$148,950.00 ",1971-07-01,10,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,01-May,English
217573, $-   ,"$255,984.48 ",2016-06-14,23,FALSE,FALSE,FALSE,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,Nov-50,English
234724,$141.71 ,"$637,704.00 ",1975-02-15,30,FALSE,TRUE,FALSE,NOTICE,BRANCH (POS),N,Y,N,N,N,N,N,N,Y,06-Oct,English
240009, $-   ,"$792,136.80 ",1990-12-01,21,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English
